0,0,1,0,1,1,0,0,1,0
1,0,1,0,1,1,0,0,1,0
2,0,1,0,1,1,0,0,1,0
3,1,1,0,1,1,0,0,1,0
4,1,1,1,1,1,0,1,1,1
5,1,2,2,1,2,2,1,2,1
6,2,2,2,3,2,3,2,3,2
7,3,3,2,3,2,3,3,2,3
8,2,3,2,3,2,3,3,2,3
9,3,2,2,3,2,3,3,2,2
10,2,3,2,3,2,3,3,2,2
11,3,2,2,3,2,3,3,2,3
12,2,3,2,3,3,3,3,2,3
13,3,3,2,3,3,3,3,2,3
14,3,3,2,3,3,3,3,3,3
15,3,3,3,3,3,3,3,3,3
16,3,3,2,3,3,3,3,3,3
17,3,2,2,3,2,3,3,2,2
18,2,2,2,2,2,2,2,2,1
19,1,1,1,1,2,2,1,2,1
20,1,1,1,1,1,1,1,1,1
21,0,1,1,1,1,0,1,1,1
22,0,1,0,0,1,0,0,1,0
23,0,1,0,1,1,0,0,1,0
