0,0,1,0,1,0,0,1,0,1
1,0,1,1,0,0,0,0,0,0
2,0,1,0,1,0,1,0,1,0
3,1,0,0,0,1,0,0,0,0
4,1,0,1,1,0,1,1,0,0
5,1,2,2,1,1,1,2,1,1
6,2,2,3,2,3,2,2,2,2
7,2,2,3,4,3,3,3,4,3
8,2,2,4,3,3,4,3,4,3
9,3,2,3,3,4,3,3,3,4
10,2,1,3,2,2,2,3,2,2
11,1,2,2,2,2,1,2,1,2
12,1,2,1,2,3,3,3,2,2
13,2,1,2,2,1,2,1,2,1
14,1,2,2,2,3,2,2,2,3
15,1,1,2,2,1,2,1,2,3
16,2,1,3,2,3,2,3,2,1
17,2,3,2,4,5,3,2,4,2
18,2,2,3,4,3,3,4,5,3
19,2,2,3,3,3,2,3,5,3
20,2,3,1,1,3,2,2,3,3
21,0,1,1,1,1,2,2,2,2
22,1,1,1,2,1,1,2,1,1
23,0,0,1,1,0,1,1,1,1
